date,culture_id,action_id
2025-01-01,mais,plantation
2025-01-01,haricot,semis
2025-01-02,riz,semis
2025-01-02,manioc,recolte
2025-01-03,haricot,recolte
2025-01-04,manioc,plantation
2025-01-04,haricot,plantation
2025-01-05,haricot,entretien
2025-01-05,mais,plantation
2025-01-06,mais,entretien
2025-01-07,manioc,semis
2025-01-07,manioc,entretien
2025-01-08,manioc,plantation
2025-01-08,mais,plantation
2025-01-09,manioc,recolte
2025-01-09,manioc,recolte
2025-01-10,manioc,plantation
2025-01-10,mais,plantation
2025-01-11,riz,entretien
2025-01-12,mais,entretien
2025-01-12,mais,plantation
2025-01-13,riz,recolte
2025-01-13,manioc,plantation
2025-01-14,mais,semis
2025-01-14,manioc,recolte
2025-01-15,haricot,semis
2025-01-16,riz,recolte
2025-01-17,mais,semis
2025-01-18,mais,entretien
2025-01-18,riz,semis
2025-01-19,riz,plantation
2025-01-20,haricot,entretien
2025-01-20,manioc,entretien
2025-01-21,manioc,semis
2025-01-22,mais,semis
2025-01-23,haricot,plantation
2025-01-24,riz,entretien
2025-01-24,manioc,recolte
2025-01-25,manioc,recolte
2025-01-26,haricot,entretien
2025-01-27,haricot,entretien
2025-01-28,haricot,recolte
2025-01-29,riz,recolte
2025-01-30,manioc,semis
2025-01-30,mais,semis
2025-01-31,riz,plantation
