date,programme1,programme2,programme3
2025-02-01,Messe soir,Réunion chorale,Confession
2025-02-03,Messe soir,,
2025-02-04,Messe soir,Réunion chorale,
2025-02-05,Messe soir,,Confession
2025-02-06,Messe soir,,
2025-02-08,Messe soir,,
2025-02-09,Messe soir,Réunion chorale,
2025-02-10,Messe soir,Réunion chorale,Confession
2025-02-13,Messe matin,Réunion chorale,Confession
2025-02-16,Messe matin,Réunion chorale,Confession
2025-02-18,Messe soir,Réunion chorale,
2025-02-19,Messe matin,Réunion chorale,
2025-02-20,Messe matin,Réunion chorale,
2025-02-21,Messe matin,,
2025-02-22,Messe soir,,
2025-02-23,Messe soir,Réunion chorale,
2025-02-24,Messe matin,Réunion chorale,
2025-02-25,Messe soir,Réunion chorale,
2025-02-26,Messe soir,,
2025-02-27,Messe matin,Réunion chorale,
