date,culture_id,action_id
2025-03-01,manioc,plantation
2025-03-02,mais,entretien
2025-03-02,riz,entretien
2025-03-03,riz,semis
2025-03-04,mais,plantation
2025-03-04,haricot,semis
2025-03-05,riz,semis
2025-03-06,riz,recolte
2025-03-06,manioc,recolte
2025-03-07,haricot,recolte
2025-03-07,haricot,plantation
2025-03-08,riz,entretien
2025-03-08,manioc,recolte
2025-03-09,mais,recolte
2025-03-09,mais,plantation
2025-03-10,haricot,entretien
2025-03-11,mais,plantation
2025-03-12,mais,plantation
2025-03-12,manioc,semis
2025-03-13,manioc,entretien
2025-03-13,riz,entretien
2025-03-14,riz,entretien
2025-03-15,mais,recolte
2025-03-16,mais,semis
2025-03-17,haricot,recolte
2025-03-17,manioc,entretien
2025-03-18,riz,semis
2025-03-18,manioc,entretien
2025-03-19,manioc,entretien
2025-03-20,manioc,entretien
2025-03-21,haricot,recolte
2025-03-21,mais,semis
2025-03-22,haricot,plantation
2025-03-23,riz,entretien
2025-03-24,mais,plantation
2025-03-25,riz,entretien
2025-03-25,haricot,entretien
2025-03-26,mais,entretien
2025-03-27,manioc,semis
2025-03-27,haricot,entretien
2025-03-28,haricot,plantation
2025-03-29,manioc,plantation
2025-03-29,manioc,recolte
2025-03-30,manioc,plantation
2025-03-30,riz,entretien
2025-03-31,manioc,recolte
