date,programme1,programme2,programme3
2025-04-01,Messe matin,Réunion chorale,
2025-04-02,Messe matin,Réunion chorale,
2025-04-04,Messe matin,,
2025-04-05,Messe soir,Réunion chorale,
2025-04-06,Messe soir,,
2025-04-07,Messe matin,Réunion chorale,
2025-04-09,Messe soir,,
2025-04-10,Messe soir,,
2025-04-11,Messe soir,,
2025-04-13,Messe matin,Réunion chorale,
2025-04-15,Messe matin,,
2025-04-17,Messe matin,,
2025-04-18,Messe matin,Réunion chorale,
2025-04-19,Messe matin,,
2025-04-20,Messe matin,Réunion chorale,
2025-04-21,Messe soir,Réunion chorale,
2025-04-22,Messe soir,,Confession
2025-04-23,Messe matin,,
2025-04-27,Messe matin,,
2025-04-28,Messe soir,Réunion chorale,Confession
2025-04-29,Messe soir,Réunion chorale,
2025-04-30,Messe soir,,
