date,culture_id,action_id
2025-05-01,haricot,plantation
2025-05-01,riz,recolte
2025-05-02,riz,recolte
2025-05-03,riz,entretien
2025-05-03,riz,entretien
2025-05-04,haricot,entretien
2025-05-05,mais,semis
2025-05-06,mais,entretien
2025-05-07,riz,semis
2025-05-07,mais,recolte
2025-05-08,manioc,semis
2025-05-09,mais,semis
2025-05-10,haricot,semis
2025-05-10,haricot,semis
2025-05-11,riz,semis
2025-05-12,manioc,plantation
2025-05-12,manioc,recolte
2025-05-13,manioc,entretien
2025-05-14,riz,semis
2025-05-15,haricot,plantation
2025-05-16,manioc,entretien
2025-05-16,manioc,semis
2025-05-17,manioc,recolte
2025-05-17,mais,entretien
2025-05-18,riz,entretien
2025-05-19,manioc,recolte
2025-05-19,mais,plantation
2025-05-20,mais,entretien
2025-05-20,riz,semis
2025-05-21,riz,entretien
2025-05-21,haricot,plantation
2025-05-22,haricot,plantation
2025-05-23,manioc,semis
2025-05-24,manioc,recolte
2025-05-24,riz,semis
2025-05-25,riz,entretien
2025-05-26,haricot,plantation
2025-05-27,mais,entretien
2025-05-28,haricot,recolte
2025-05-29,haricot,semis
2025-05-30,haricot,entretien
2025-05-31,mais,entretien
2025-05-31,haricot,entretien
