date,programme1,programme2,programme3
2025-05-02,Messe matin,,
2025-05-04,Messe matin,,Confession
2025-05-05,Messe matin,,Confession
2025-05-08,Messe soir,,
2025-05-09,Messe soir,,
2025-05-11,Messe soir,,Confession
2025-05-12,Messe soir,,
2025-05-13,Messe soir,,
2025-05-14,Messe matin,,Confession
2025-05-16,Messe soir,,Confession
2025-05-17,Messe matin,,Confession
2025-05-23,Messe soir,,Confession
2025-05-24,Messe soir,Réunion chorale,Confession
2025-05-27,Messe soir,Réunion chorale,
2025-05-29,Messe soir,,
2025-05-30,Messe soir,,
2025-05-31,Messe matin,Réunion chorale,Confession
