date,culture_id,action_id
2025-06-01,mais,plantation
2025-06-01,riz,recolte
2025-06-02,manioc,plantation
2025-06-03,haricot,recolte
2025-06-04,mais,plantation
2025-06-04,riz,plantation
2025-06-05,haricot,plantation
2025-06-05,riz,semis
2025-06-06,mais,recolte
2025-06-06,mais,entretien
2025-06-07,mais,entretien
2025-06-07,haricot,recolte
2025-06-08,haricot,semis
2025-06-09,manioc,semis
2025-06-10,mais,recolte
2025-06-11,haricot,entretien
2025-06-11,mais,semis
2025-06-12,haricot,entretien
2025-06-12,mais,plantation
2025-06-13,mais,recolte
2025-06-14,mais,recolte
2025-06-14,mais,plantation
2025-06-15,mais,entretien
2025-06-16,haricot,entretien
2025-06-16,haricot,plantation
2025-06-17,riz,semis
2025-06-18,riz,recolte
2025-06-18,manioc,recolte
2025-06-19,mais,recolte
2025-06-19,haricot,semis
2025-06-20,mais,entretien
2025-06-21,mais,recolte
2025-06-21,manioc,entretien
2025-06-22,haricot,plantation
2025-06-23,riz,recolte
2025-06-24,riz,plantation
2025-06-24,haricot,plantation
2025-06-25,haricot,plantation
2025-06-26,haricot,recolte
2025-06-26,mais,entretien
2025-06-27,haricot,semis
2025-06-27,manioc,semis
2025-06-28,manioc,recolte
2025-06-29,mais,entretien
2025-06-29,manioc,entretien
2025-06-30,mais,entretien
