date,programme1,programme2,programme3
2025-09-01,Messe matin,Réunion chorale,
2025-09-02,Messe matin,Réunion chorale,
2025-09-03,Messe soir,,
2025-09-04,Messe matin,Réunion chorale,
2025-09-05,Messe soir,Réunion chorale,
2025-09-07,Messe soir,Réunion chorale,
2025-09-08,Messe matin,Réunion chorale,Confession
2025-09-09,Messe matin,,
2025-09-11,Messe soir,Réunion chorale,
2025-09-12,Messe soir,Réunion chorale,
2025-09-13,Messe soir,,
2025-09-15,Messe matin,Réunion chorale,Confession
2025-09-16,Messe soir,Réunion chorale,Confession
2025-09-17,Messe matin,,Confession
2025-09-18,Messe soir,Réunion chorale,
2025-09-19,Messe matin,,
2025-09-20,Messe soir,,
2025-09-22,Messe soir,,
2025-09-23,Messe soir,Réunion chorale,Confession
2025-09-25,Messe matin,,
2025-09-26,Messe soir,Réunion chorale,Confession
2025-09-27,Messe soir,Réunion chorale,
2025-09-29,Messe soir,,
