date,culture_id,action_id
2025-10-01,haricot,entretien
2025-10-02,haricot,recolte
2025-10-02,manioc,plantation
2025-10-03,manioc,entretien
2025-10-04,mais,entretien
2025-10-04,manioc,semis
2025-10-05,haricot,entretien
2025-10-05,haricot,plantation
2025-10-06,manioc,entretien
2025-10-07,riz,entretien
2025-10-07,riz,semis
2025-10-08,haricot,recolte
2025-10-09,manioc,plantation
2025-10-09,haricot,plantation
2025-10-10,mais,recolte
2025-10-11,haricot,entretien
2025-10-11,riz,plantation
2025-10-12,mais,semis
2025-10-13,manioc,semis
2025-10-13,riz,plantation
2025-10-14,manioc,semis
2025-10-14,manioc,recolte
2025-10-15,haricot,entretien
2025-10-15,haricot,semis
2025-10-16,manioc,semis
2025-10-17,haricot,entretien
2025-10-17,haricot,recolte
2025-10-18,haricot,semis
2025-10-19,manioc,plantation
2025-10-19,riz,recolte
2025-10-20,mais,recolte
2025-10-20,riz,plantation
2025-10-21,manioc,entretien
2025-10-21,manioc,recolte
2025-10-22,riz,semis
2025-10-23,haricot,plantation
2025-10-24,mais,entretien
2025-10-24,riz,plantation
2025-10-25,riz,recolte
2025-10-25,haricot,recolte
2025-10-26,mais,plantation
2025-10-27,riz,recolte
2025-10-27,riz,recolte
2025-10-28,riz,semis
2025-10-28,haricot,recolte
2025-10-29,manioc,semis
2025-10-30,manioc,recolte
2025-10-30,riz,entretien
2025-10-31,mais,plantation
