date,culture_id,action_id
2025-04-01,mais,plantation
2025-04-02,haricot,plantation
2025-04-03,riz,plantation
2025-04-03,riz,entretien
2025-04-04,manioc,semis
2025-04-04,manioc,entretien
2025-04-05,manioc,semis
2025-04-06,haricot,entretien
2025-04-07,riz,plantation
2025-04-07,haricot,entretien
2025-04-08,manioc,recolte
2025-04-08,riz,recolte
2025-04-09,haricot,semis
2025-04-09,manioc,recolte
2025-04-10,mais,plantation
2025-04-10,mais,plantation
2025-04-11,riz,recolte
2025-04-11,haricot,entretien
2025-04-12,haricot,recolte
2025-04-12,haricot,recolte
2025-04-13,manioc,semis
2025-04-14,manioc,plantation
2025-04-14,manioc,semis
2025-04-15,riz,plantation
2025-04-16,manioc,entretien
2025-04-17,manioc,recolte
2025-04-18,manioc,semis
2025-04-19,riz,entretien
2025-04-20,riz,entretien
2025-04-20,riz,recolte
2025-04-21,manioc,recolte
2025-04-22,haricot,plantation
2025-04-22,riz,recolte
2025-04-23,riz,entretien
2025-04-24,mais,entretien
2025-04-25,mais,entretien
2025-04-26,manioc,semis
2025-04-26,mais,entretien
2025-04-27,haricot,semis
2025-04-27,riz,recolte
2025-04-28,mais,entretien
2025-04-29,manioc,entretien
2025-04-30,mais,recolte
2025-04-30,haricot,plantation
