date,programme1,programme2,programme3
2026-06-01,Messe matin,Réunion chorale,Confession
2026-06-03,Messe soir,Réunion chorale,
2026-06-04,Messe matin,,
2026-06-06,Messe matin,,
2026-06-07,Messe soir,Réunion chorale,Confession
2026-06-08,Messe soir,Réunion chorale,
2026-06-09,Messe matin,Réunion chorale,
2026-06-10,Messe matin,Réunion chorale,
2026-06-11,Messe matin,Réunion chorale,
2026-06-13,Messe matin,,Confession
2026-06-15,Messe soir,,
2026-06-16,Messe soir,Réunion chorale,Confession
2026-06-17,Messe matin,Réunion chorale,Confession
2026-06-18,Messe matin,,Confession
2026-06-19,Messe matin,,Confession
2026-06-21,Messe matin,Réunion chorale,
2026-06-22,Messe matin,Réunion chorale,Confession
2026-06-24,Messe matin,Réunion chorale,Confession
2026-06-25,Messe matin,Réunion chorale,Confession
2026-06-27,Messe soir,,
2026-06-28,Messe soir,Réunion chorale,
2026-06-29,Messe soir,,
2026-06-30,Messe matin,Réunion chorale,
